314 900
0 1 138
0 41 70
0 19 49
0 39 27
0 13 121
0 46 70
0 45 76
0 2 164
1 59 41
1 41 85
1 0 138
2 0 164
2 119 46
2 45 85
2 118 36
2 117 43
2 116 55
2 115 75
2 113 111
2 3 112
2 114 105
3 114 38
3 113 40
3 115 60
3 116 83
3 117 107
3 118 135
3 2 112
3 120 42
3 111 59
3 112 54
3 110 96
3 4 215
4 3 215
4 110 135
4 111 156
4 112 191
4 113 212
4 5 169
4 121 39
4 100 51
4 101 79
4 102 111
4 103 137
4 104 163
4 35 40
4 106 44
4 105 79
4 6 101
4 109 72
5 4 169
5 5 22
5 104 42
5 103 50
5 102 80
5 101 104
5 100 139
5 121 144
6 4 101
6 106 61
6 105 41
6 109 36
6 6 18
6 107 26
6 99 34
6 98 41
6 97 85
6 96 116
6 7 140
6 108 121
7 6 140
7 108 39
7 96 40
7 97 73
7 98 110
7 99 138
7 7 24
7 36 41
7 8 159
8 7 159
8 95 55
8 93 53
8 9 78
8 88 69
8 38 75
9 10 41
9 9 21
9 8 78
9 38 32
9 11 114
9 87 67
9 85 103
9 86 90
9 88 47
10 94 42
10 93 64
10 92 35
10 9 41
11 9 114
11 12 108
11 89 36
11 84 36
11 83 53
11 82 87
11 90 57
11 91 65
11 85 44
11 86 51
11 87 96
11 88 99
12 11 108
12 37 33
12 82 47
12 83 78
12 91 67
12 89 93
12 84 114
13 0 121
13 14 108
13 47 58
13 46 66
14 13 108
14 15 146
14 48 71
14 47 63
15 14 146
15 34 39
15 18 50
15 16 99
16 15 99
16 17 107
16 49 42
16 50 61
16 53 38
17 16 107
17 52 29
17 51 41
18 15 50
18 55 44
18 54 48
18 56 85
18 53 129
19 0 49
19 39 28
19 33 45
19 20 93
20 19 93
20 21 146
20 60 45
20 42 54
20 43 46
20 61 45
20 62 67
21 20 146
21 22 158
21 63 33
21 126 93
21 122 34
22 21 158
22 23 89
22 40 41
22 126 91
22 130 74
22 127 125
22 129 100
23 22 89
23 24 91
23 64 44
23 81 106
24 23 91
24 65 45
24 31 57
24 25 88
25 24 88
25 26 50
25 76 36
25 80 32
26 25 50
26 26 24
26 75 34
26 32 36
26 27 67
26 79 25
27 26 67
27 78 27
27 32 50
27 77 47
27 81 49
28 31 173
28 66 58
28 30 71
28 71 88
28 70 67
29 69 31
29 143 86
30 28 71
30 71 34
30 70 61
30 144 78
31 24 57
31 28 173
31 140 38
31 143 47
32 26 36
32 27 50
32 140 112
32 142 42
33 19 45
33 131 40
34 15 39
34 313 37
35 4 40
35 164 50
36 7 41
36 167 37
37 12 33
37 138 41
38 8 75
38 9 32
38 169 25
38 168 94
39 0 27
39 19 28
39 131 40
39 132 40
40 22 41
40 137 56
40 136 34
40 40 6
41 1 85 C
41 0 70 C
42 20 54 C
43 20 46 C
43 44 63 C
43 125 64 C
44 43 63 C
44 45 72 C
45 0 76 C
45 44 72 C
45 2 85 C
46 13 66 C
46 0 70 C
47 14 63 C
47 13 58 C
48 14 71 C
49 16 42 C
50 16 61 C
51 17 41 C
52 17 29 C
53 16 38 C
53 18 129 C
54 18 48 C
55 18 44 C
56 18 85 C
56 57 60 C
56 58 105 C
57 56 60 C
58 56 105 C
59 1 41 C
60 20 45 C
61 20 45 C
62 20 67 C
63 21 33 C
64 23 44 C
65 24 45 C
66 28 58 C
66 67 43 C
67 66 43 C
67 68 41 C
68 67 41 C
68 69 49 C
69 68 49 C
69 29 31 C
70 30 61 C
70 28 67 C
70 71 62 C
70 74 75 C
71 28 88 C
71 30 34 C
71 70 62 C
71 72 76 C
72 71 76 C
72 73 65 C
73 72 65 C
74 70 75 C
75 26 34 C
76 25 36 C
77 27 47 C
77 127 56 C
78 27 27 C
79 26 25 C
80 25 32 C
81 27 49 C
81 23 106 C
81 130 54 C
82 12 47 C
82 11 87 C
83 12 78 C
83 11 53 C
84 12 114 C
84 11 36 C
85 11 44 C
85 9 103 C
86 11 51 C
86 9 90 C
87 11 96 C
87 9 67 C
88 8 69 C
88 11 99 C
88 9 47 C
89 12 93 C
89 11 36 C
90 11 57 C
91 12 67 C
91 11 65 C
92 10 35 C
93 8 53 C
93 94 46 C
93 95 51 C
93 10 64 C
94 93 46 C
94 10 42 C
95 8 55 C
95 93 51 C
96 6 116 C
96 7 40 C
97 6 85 C
97 7 73 C
98 6 41 C
98 7 110 C
99 6 34 C
99 7 138 C
100 4 51 C
100 5 139 C
101 4 79 C
101 5 104 C
102 4 111 C
102 5 80 C
103 4 137 C
103 5 50 C
104 4 163 C
104 5 42 C
105 4 79 C
105 6 41 C
106 4 44 C
106 6 61 C
107 6 26 C
108 7 39 C
108 6 121 C
109 6 36 C
109 4 72 C
110 3 96 C
110 4 135 C
111 3 59 C
111 4 156 C
112 3 54 C
112 4 191 C
113 2 111 C
113 3 40 C
113 4 212 C
114 3 38 C
114 2 105 C
115 2 75 C
115 3 60 C
116 2 55 C
116 3 83 C
117 2 43 C
117 3 107 C
118 2 36 C
118 3 135 C
119 2 46 C
120 3 42 C
121 4 39 C
121 5 144 C
122 21 34 C
122 123 46 C
122 124 56 C
123 122 46 C
123 125 74 C
124 122 56 C
124 125 79 C
125 123 74 C
125 43 64 C
125 124 79 C
126 22 91 C
126 21 93 C
127 22 125 C
127 77 56 C
128 129 96 C
129 22 100 C
129 128 96 C
130 22 74 C
130 81 54 C
131 33 40
131 39 40
131 132 52
131 203 39
131 133 67
131 217 29
132 39 40
132 131 52
132 152 44
132 151 58
132 217 34
133 131 67
133 203 50
133 215 32
133 134 94
133 204 34
133 209 53
134 209 45
134 205 29
134 133 94
134 204 77
134 211 47
134 212 53
134 208 29
134 135 117
134 206 87
135 207 28
135 206 50
135 134 117
135 278 40
135 136 107
136 280 34
136 135 107
136 278 72
136 137 17
136 136 13
136 281 96
136 40 34
136 138 232
137 136 17
137 40 56
137 139 108
137 312 124
137 138 241
138 136 232
138 137 241
138 37 41
138 248 67
138 250 104
138 170 110
139 137 108
139 281 69
139 140 65
140 139 65
140 31 38
140 282 39
140 284 63
140 283 49
140 32 112
140 141 147
141 140 147
141 285 39
141 141 21
141 288 40
141 142 64
142 141 64
142 32 42
142 289 73
142 291 67
142 290 84
142 312 108
143 31 47
143 29 86
143 144 159
144 143 159
144 30 78
144 299 61
144 145 99
144 298 50
145 144 99
145 301 62
145 300 52
145 299 66
145 302 38
145 308 55
145 303 79
145 306 82
145 304 122
145 307 118
145 146 147
145 298 66
146 145 147
146 147 52
146 148 41
147 146 52
147 148 33
147 149 33
148 146 41
148 147 33
149 147 33
150 165 94
151 132 58
151 200 39
